Text,Latitude,Longitude,Altitude,Type
"Kalamazoo, MI, USA",42.29,-85.585833,0,city
"Akron, OH, USA",41.073056,-81.517778,0,city
"Newburgh, NY, USA",41.519722,-74.021389,0,city
"Montclair, NJ, USA",40.824998,-74.210856,0,city
"Charlotte, NC, USA",35.227222,-80.843056,0,city
"Birmingham, AL, USA",33.5175,-86.809444,0,city
"Baton Rouge, LA, USA",30.4475,-91.178611,0,city
"Grambling, LA, USA",32.5275,-92.713889,0,city
"Ruston, LA, USA",32.529722,-92.640556,0,city
"East Hampton, NY, USA",40.956944,-72.198889,0,city
"Albuquerque, NM, USA",35.110833,-106.61,0,city
"Oklahoma City, OK, USA",35.468611,-97.521389,0,city
"Stillwater, OK, USA",36.116,-97.059,0,city
"Wichita, KS, USA",37.688889,-97.336111,0,city
"Kansas City, KS, USA",39.106667,-94.676389,0,city
"Manhattan, KS, USA",39.183608,-96.571669,0,city
"Cincinnati, OH, USA",39.1,-84.5125,0,city
"Normal, IL, USA",40.512222,-88.988611,0,city
"Grand Rapids, MI, USA",42.961111,-85.655556,0,city
"Valencia, Spain",39.466667,-0.375,0,city
"Zaragoza, Spain",41.65,-0.883333,0,city
"Albany, NY, USA",42.6525,-73.757222,0,city
"Taipei, Taiwan",25.066667,121.516667,0,city
"Pasay, Philippines",14.55,121.0,0,city
"Bangkok, Thailand",13.7525,100.494167,0,city
"New Delhi, India",28.613895,77.209006,0,city
"Istanbul, Turkey",41.013611,28.955,0,city
"Giza, Egypt",29.987,31.2118,0,city
"Avignon, France",43.95,4.8075,0,city
"Indianapolis, IN, USA",39.768611,-86.158056,0,city
"St. Petersburg, FL, USA",27.773056,-82.64,0,city
"Lima, Peru",-12.043333,-77.028333,0,city
"Montevideo, Uruguay",-34.883611,-56.181944,0,city
"Curitiba, Brazil",-25.429722,-49.271111,0,city
"São Paulo, Brazil",-23.55,-46.633333,0,city
"Ambler, PA, USA",40.155,-75.220278,0,city
"Garden City, NY, USA",40.726944,-73.649722,0,city
"Merrick, NY, USA",40.659444,-73.553611,0,city
"Rabat, Morocco",33.920882,-6.74165,0,city
"Charleston, SC, USA",32.783333,-79.931944,0,city
"Columbia, MD, USA",39.203611,-76.856944,0,city
"Arles, France",43.6767,4.6278,0,city
