Place,Venues,Repertory
"Rutland, VT, USA",Mount St. Joseph High School Auditorium,The Lark Ascending; Cry; Rainbow 'Round My Shoulder; Revelations
"Río Piedras, Puerto Rico","Teatro de la Universidad, University of Puerto Rico",Blues Suite; Dance for Six; Revelations
"Sacramento, CA, USA",Sacramento Community Center Theater,Suite Otis; Shards; The Stack-Up; Night Creature; Revelations; Tell It Like It Is; Divining; Love Songs
"Safi, Morocco",Cinema Royal,Icarus; Revelations; Journey; Blues Suite; Toccata
"Saigon, South Vietnam",National Theater,Mountainway Chant; Been Here and Gone; Gillespiana; The Beloved; Roots of the Blues
"Salisbury, MD, USA",Salisbury State College,
"Salisbury, NC, USA","Varick Auditorium, Livingstone College",Reflections in D; Revelations; Metallics; Blues Suite; Toccata
"Salt Lake City, UT, USA",Capitol Theater,Cry; The Lark Ascending; Speeds; The Stack-Up; Night Creature; Revelations; Treading; Divining; Caverna Magica; Love Songs
"San Antonio, TX, USA",Theatre for Performing Arts,Memoria; The Still Point; The Lark Ascending; Phases; Later That Day; The River; Night Creature; Rainbow 'Round My Shoulder; Revelations; Treading; Concerto in F; Cry
"San Diego, CA, USA","Spreckles Theater; East County Performing Arts Center; Civic Auditorium; Symphony Hall; Mandeville Auditorium, University of California, San Diego",The Still Point; Masekela Langage; The Stack-Up; Night Creature; Tell It Like It Is; Cry; Love Songs; Shards; The Lark Ascending; Treading; Fontessa and Friends; Concerto in F; Vespers; Night Shade; For 'Bird' - With Love; Memoria; Isba; Sonnets; Portrait of Billie; Suite Otis; Bad Blood; Rainbow 'Round My Shoulder; Streams; Research; Revelations; Collage; Divining; Blues Suite
"San Jose, CA, USA","Center for the Performing Arts; Morris Daily Auditorium, San Jose State University; Performing Arts Center",Memoria; Cry; The Lark Ascending; Gazelle; Poeme; Later That Day; Night Creature; Rainbow 'Round My Shoulder; Revelations; Les Noces; Hermit Songs; Quintet; Love Songs
"Santa Barbara, CA, USA","Campbell Hall, University of California Santa Barbara",The Prodigal Prince; Congo Tango Palace; Reflections in D; Revelations; Toccata
"Santa Cruz, CA, USA","Stevenson College Dining Commons, University of California Santa Cruz",Congo Tango Palace; Reflections in D; Revelations; The Beloved; Blues Suite
"Santa Rosa, CA, USA",Santa Rosa High School Auditorium,Icarus; Revelations; Journey; Blues Suite; Toccata
"Santander, Spain",Plaza Porticada,Suite Otis; Bad Blood; The Stack-Up; Night Creature; Streams; Revelations; Treading; Concerto in F; Cry
"Santiago, Chile",Opera House; Municipal Theater,Suite Otis; Gazelle; The Still Point; Memoria; Phases; The Lark Ascending; Blues Suite; The River; Night Creature; Rainbow 'Round My Shoulder; Pas de Duke; Revelations; Treading; Concerto in F; Cry; Facets; Love Songs
"Sarajevo, Socialist Federal Republic of Yugoslavia",Djura Djaković University Hall,Lament; The Road of the Phoebe Snow; The Prodigal Prince; Revelations; Blues Suite
"Sarasota, FL, USA",Van Wezel Performing Arts Hall,Spectrum; The Still Point; The Stack-Up; Night Creature; Journey; Cry; Love Songs; Landscape; The Lark Ascending; Treading; Fontessa and Friends; Concerto in F; Blues Suite; Vespers; Memoria; Isba; Suite Otis; Bad Blood; Inside; Rainbow 'Round My Shoulder; Streams; Research; Revelations; Divining; Songs Without Words; Caverna Magica
"Saratoga Springs, NY, USA","Saratoga Performing Arts Center; College Hall, Skidmore College",Gazelle; Night Creature; Mingus; Butterfly; The Black Belt; Flowers; Cry; Quintet; Love Songs; District Storyville; Memoria; Fire Sermon; The Time Before the Time After (After the Time Before); Later That Day; Icarus; Facets; Suite Otis; Congo Tango Palace; Reflections in D; Inside; Streams; Revelations; Les Noces; Blues Suite; Toccata
"Schenectady, NY, USA",Linton High School; Proctor's Theatre,Speeds; Night Creature; The Beloved; Cry; Landscape; The Lark Ascending; Treading; Fontessa and Friends; Concerto in F; Variegations; Blues Suite; Memoria; Light; Phases; Portrait of Billie; Suite Otis; Bad Blood; The River; Reflections in D; Rainbow 'Round My Shoulder; Revelations; Gillespiana; Divining; Caverna Magica
"Seattle, WA, USA","Opera House; Meany Hall, University of Washington ; Meany Hall, University of Washington",Gazelle; The Still Point; Masekela Langage; Speeds; Witness; The Stack-Up; Night Creature; Butterfly; Dance for Six; Tell It Like It Is; Cry; Love Songs; Shards; Landscape; The Lark Ascending; Treading; Fontessa and Friends; Survivors; Concerto in F; Blues Suite; Vespers; Night Shade; Memoria; The Time Before the Time After (After the Time Before); Precipice; Phases; Isba; Later That Day; Opus McShann; Icarus; From the Mountains of Taubalu; Suite Otis; Bad Blood; The River; Inside; Rainbow 'Round My Shoulder; Streams; Research; Metallics; Revelations; Carmina Burana; Divining; Caverna Magica
"Selden, NY, USA","Islip Arts Theatre, Selden Community College",Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Seoul, South Korea",Citizens Community Hall,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; The Beloved; Roots of the Blues; Letter to a Lady
"Seremban, Malaysia",Seremban Town Hall,Mountainway Chant; Trane' in Three; Been Here and Gone; Revelations; Gillespiana; The Beloved; Roots of the Blues
"Sfax, Tunisia",Theatre Municipal,The Prodigal Prince; Icarus; Revelations; Journey; Toccata
"Shanghai, China",Shanghai Municipal Auditorium,Memoria; Night Creature; Revelations; Concerto in F; Cry
"Shepherdstown, WV, USA","McMurran Gymnasium, Shepherd College",Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Shrub Oak, NY, USA",Lakeland High School,Choral Dances; Cry; Streams; Revelations
"Skopje, Socialist Federal Republic of Yugoslavia",Universalna Sala,Lament; The Road of the Phoebe Snow; The Prodigal Prince; Revelations; Blues Suite
"Slippery Rock, PA, USA",Slippery Rock State College,Revelations; Quintet; Blues Suite
"Sorrento, Italy",Chiostro di San Francesco,Reflections in D; Blues Suite; The Prodigal Prince; Toccata
"South Hadley, MA, USA","Chapin Auditorium, Mount Holyoke College",Dance for Six; Journey; Toccata; Revelations
"Southampton, NY, USA",,
"Split, Socialist Federal Republic of Yugoslavia",Peristyle; Kulturno Unjetnicka Poslovinka,Cry; The Prodigal Prince; Icarus; Rainbow 'Round My Shoulder; Revelations; Credo; Blues Suite; Toccata
"Spring Valley, NY, USA",Spring Valley High School,Light; Reflections in D; Revelations; Gillespiana; Blues Suite
"St. Cloud, MN, USA","Stewart Hall Auditorium, St. Cloud University",Revelations; Archipelago; Dance for Six; Child of the Earth; Toccata
"St. Louis, MO, USA",Kiel Opera House; Forrest Park Community College; Hanley Junior High School,Gazelle; The Stack-Up; Night Creature; Dance for Six; Cry; Love Songs; Choral Dances; Landscape; The Road of the Phoebe Snow; Treading; Fontessa and Friends; Concerto in F; For 'Bird' - With Love; Memoria; The Time Before the Time After (After the Time Before); The Wedding; Hobo Sapiens; Suite Otis; Fanga; Caravan; Rainbow 'Round My Shoulder; Choros; Streams; Revelations; The Magic of Katherine Dunham; Divining; Blues Suite; Seven Journeys
"St. Paul, MN, USA",St. Paul Municipal Auditorium Theatre,
"St. Petersburg, FL, USA",Bayfront Center; Florida Presbyterian College,Suite Otis; The Lark Ascending; The Time Before the Time After (After the Time Before); Blues Suite; Caravan; Icarus; Night Creature; Rainbow 'Round My Shoulder; Journey; Revelations; Cry; Toccata
"St. Thomas, U.S. Virgin Islands",Charlotte Amalie High School Auditorium,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Stamford, CT, USA",The Stamford Center for the Arts; Westover School Auditorium,Witness; Bad Blood; Night Creature; Revelations; Caverna Magica
"Stanford, CA, USA","Memorial Auditorium, Stanford University",Night Creature; Revelations; Journey; Flowers; Facets
"Statesboro, GA, USA",Georgia Southern College,Revelations; Quintet; Blues Suite
"Stevens Point, WI, USA","Old Main Auditorium, University of Wisconsin–Stevens Point",Threnody; Revelations; Metallics; Journey; Toccata
"Stillwater, OK, USA","Oklahoma State University; Seretean Center for the Performing Arts, Oklahoma State University",Choral Dances; Feast of Ashes; Blues Suite; Icarus; Night Creature; Revelations; Hidden Rites; According to Eve; Dance for Six; Cry; Love Songs
"Stockholm, Sweden",Stockholms Stadsteater,The Prodigal Prince; The Stack-Up; Night Creature; The Beloved; Cry; Love Songs; Lament; The Road of the Phoebe Snow; Fever Swamp; Treading; Pigs and Fishes; Suite Otis; Congo Tango Palace; Reflections in D; Rooms; Revelations; Gillespiana; Metallics; Hermit Songs; Divining; Blues Suite; Toccata
"Storrs, CT, USA","Harriet S. Jorgensen Theatre, University of Connecticut; University of Connecticut; Jorgensen Auditorium, University of Connecticut",Suite Otis; Cry; The Lark Ascending; Masekela Langage; Child of the Earth; Blues Suite; Icarus; Carmina Burana; Rainbow 'Round My Shoulder; Revelations; Hidden Rites; Flowers; Quintet; From the Mountains of Taubalu; Toccata; Love Songs
"Stuttgart, Germany",Liederhalle,The Road of the Phoebe Snow; Revelations; Hermit Songs; Blues Suite; Toccata
"Stuttgart-North, Germany",,
"Sweet Briar, VA, USA",Sweet Briar College,Threnody; Icarus; Revelations; Journey; Toccata
"Sydney, Australia",Tivoli Theatre; Palace Theatre; Lyric Mode Entertainment Centre,Speeds; The Stack-Up; Night Creature; The Beloved; Cry; Love Songs; Lament; The Road of the Phoebe Snow; Treading; Fontessa and Friends; Roots of the Blues; Concerto in F; Letter to a Lady; Memoria; Mountainway Chant; Isba; Been Here and Gone; Suite Otis; Reflections in D; Rooms; Revelations; Gillespiana; Hermit Songs; Divining; Blues Suite; How to Walk an Elephant
"Syracuse, NY, USA",Crouse-Hinds Concert Theater,Suite Otis; Shards; Bad Blood; Streams; Revelations; Tell It Like It Is; Divining; From the Mountains of Taubalu
"São Paulo, Brazil",Teatro Municipal,Gazelle; Night Creature; Butterfly; Cry; Love Songs; The Lark Ascending; Passage; Light; The Time Before the Time After (After the Time Before); Icarus; Facets; Suite Otis; Reflections in D; Rainbow 'Round My Shoulder; Pas de Duke; Streams; Gillespiana; Revelations; Blues Suite
"Tacoma, WA, USA",,
"Taipei, Taiwan",Sun Yat-sen Memorial Hall; Taipei City Hall,Gazelle; The Lark Ascending; Trane' in Three; Been Here and Gone; Rainbow 'Round My Shoulder; Revelations; Gillespiana; Journey; The Beloved; Roots of the Blues; After Eden; Cry; Facets
"Tallahassee, FL, USA","Lee Hall, Florida Agricultural and Mechanical University; Wescott Auditorium, Florida State University; Ruby Diamond Auditorium",Spectrum; The Prodigal Prince; Journey; Dance for Six; Fever Swamp; Treading; Concerto in F; Memoria; Pigs and Fishes; Icarus; To Jose Clemente Orozco; The River; Streams; Revelations; Metallics; Hermit Songs; Songs Without Words; Blues Suite; Toccata
"Tampa, FL, USA",University of South Florida,Masekela Langage; Dance for Six; Revelations
"Taormina, Italy",Theatro Greco,The Stack-Up; Streams; Night Creature; Revelations; Treading; Caverna Magica; Cry
"Tarrytown, NY, USA","Spellman Auditorium, Marymount College",The Beloved
"Tehran, Iran",Roudaki Hall,Cry; The Lark Ascending; Nubian Lady; Streams; Revelations; Hidden Rites; Kinetic Molpai; Blues Suite; Love Songs
"Tel Aviv, Israel",Mann Auditorium; Solomon's Pool,Spectrum; Speeds; The Stack-Up; Night Creature; Cry; Landscape; Fever Swamp; Treading; Fontessa and Friends; Survivors; Concerto in F; Memoria; Phases; Pigs and Fishes; Sonnets; Caverna Magica; Suite Otis; Bad Blood; The River; Streams; Revelations; Divining; Blues Suite
"Tempe, AZ, USA","Grady Gammage Memorial Auditorium, Arizona State University",The Still Point; Masekela Langage; The Stack-Up; Night Creature; Divining; Dance for Six; Cry; Missa Brevis; Love Songs; Landscape; The Lark Ascending; Fever Swamp; Treading; Fontessa and Friends; Concerto in F; Isba; Pigs and Fishes; The River; Carmina Burana; Rainbow 'Round My Shoulder; Revelations; Hidden Rites; After Eden; Songs Without Words
"Terre Haute, IN, USA","Tilson Music Hall, Indiana State University",
"Timișoara, Socialist Republic of Romania",Opera House,The Lark Ascending; Cry; Rainbow 'Round My Shoulder; Revelations
"Tokuyama, Yamaguchi, Japan",Tokuyama Shiminkan,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; Roots of the Blues; Letter to a Lady
"Tokyo, Japan","Tokyo Bunka Kaikan; Bunkyo Hall; Tokyo Sun Plaza Hall; Nakano Sun Plaza Hall; Bunka Kaikan Hall; NHK Hall; Tokyo Kosei Nenkin Kaikan; Hitomi Kinen Kodo, Showa Women's University; Hitmomi Memorial Hall; Hitomi Kinen Kodo, Showa Women's University; Sankei Hall",Spectrum; Masekela Langage; Speeds; Trane' in Three; The Stack-Up; Cinco Latinos; Night Creature; Creation of the World; The Beloved; Divining; Cry; Love Songs; Landscape; The Lark Ascending; The Road of the Phoebe Snow; The Wait; Fever Swamp; Treading; Fontessa and Friends; Roots of the Blues; Concerto in F; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Mountainway Chant; Precipice; Phases; Isba; Pigs and Fishes; Been Here and Gone; Sonnets; According to Eve; Facets; Suite Otis; The River; Inside; Streams; Revelations; Gillespiana; Les Noces; After Eden; Songs Without Words; Blues Suite
"Toronto, Ontario, Canada",O'Keefe Centre for the Performing Arts,Gazelle; Masekela Langage; Speeds; Witness; The Stack-Up; Night Creature; Butterfly; Flowers; Cry; Love Songs; District Storyville; The Lark Ascending; The Road of the Phoebe Snow; Medusa; Survivors; Concerto in F; Blues Suite; For 'Bird' - With Love; Vespers; Fire Sermon; Memoria; The Time Before the Time After (After the Time Before); Later That Day; Hobo Sapiens; Sunrise... Sunset; Suite Otis; Congo Tango Palace; Bad Blood; Reflections in D; Caravan; Rainbow 'Round My Shoulder; Streams; Revelations; Inside; Les Noces; Hermit Songs; Caverna Magica; Toccata
"Toulouse, France",,Suite Otis; The Stack-Up; Revelations; Divining; Love Songs
"Towson, MD, USA","Kraushaar Auditorium, Goucher College",Blues Suite; Streams; Revelations
"Trapani, Italy",Villa com le Margherita,Treading; The Stack-Up; Night Creature; Revelations
"Trenton, MI, USA",Trenton High School Auditorium,Reflections in D; Revelations; Metallics; Blues Suite; Toccata
"Trenton, NJ, USA",Trenton State College; War Memorial Theater,The Lark Ascending; Streams; Rainbow 'Round My Shoulder; Revelations; Carmina Burana; Cry; Love Songs
"Tucson, AZ, USA","Main Auditorium, University of Arizona; Centennial Hall, University of Arizona",Suite Otis; Cry; Shards; Masekela Langage; Bad Blood; Missa Brevis; Night Creature; Rainbow 'Round My Shoulder; Streams; Treading; Revelations; Dance for Six; Divining; Kinetic Molpai; Blues Suite; From the Mountains of Taubalu
"Tulsa, OK, USA",Tulsa Performing Arts Center; Civic Center,Suite Otis; Memoria; Cry; Later That Day; The Stack-Up; Inside; Night Creature; Rainbow 'Round My Shoulder; Revelations; Treading; Les Noces; Divining; Blues Suite; Facets
"Turin, Italy",Teatro Alfieri,Lament; The Road of the Phoebe Snow; Congo Tango Palace; Reflections in D; Revelations; Blues Suite
"Union, NJ, USA","Little Theatre, Newark State College; Newark State College",Light; Threnody; Reflections in D; Revelations; Gillespiana; Hermit Songs; Blues Suite
"University Park, PA, USA","Pennsylvania State University; Recreation Hall, Pennsylvania State University; Eisenhower Auditorium, Pennsylvania State University; Schwab Auditorium, Pennsylvania State University; University Auditorium, Pennsylvania State",The Stack-Up; Lullaby for a Jazz Baby; Night Creature; Dance for Six; Cry; Love Songs; The Road of the Phoebe Snow; Fever Swamp; Treading; Survivors; Echoes in Blue; Isba; Nubian Lady; Pigs and Fishes; Caverna Magica; Liberian Suite; Bad Blood; Rainbow 'Round My Shoulder; Revelations; Hidden Rites; Hermit Songs; Divining; Blues Suite
"Urbana, IL, USA","Krannert Center for the Performing Arts, University of Illinois Urbana-Champaign",Time Out of Mind; The Still Point; Landscape; Sonnets; Night Creature; Streams; Revelations; Treading; Fontessa and Friends; Concerto in F; Dance for Six; Flowers; Blues Suite
"Utica, NY, USA",Munson Williams Proctor Art Institute; Stanley Performing Arts Center,Suite Otis; Cinco Latinos; Streams; Revelations; Treading; Three for Now; Blues Suite
"Utrecht, Netherlands",Stadsschouwburg,The Road of the Phoebe Snow; The Prodigal Prince; Congo Tango Palace; Reflections in D; Revelations; Metallics; Credo; The Black Belt; Blues Suite; Toccata
"Valencia, Spain",Teatro de la Princessa,The Mooche; Streams; Carmina Burana; Revelations; Night Creature; Cry; Love Songs
"Vancouver, British Columbia, Canada",Queen Elizabeth Theatre,Gazelle; The Still Point; Masekela Langage; Witness; The Mooche; The Stack-Up; Night Creature; Journey; Cry; Love Songs; Choral Dances; District Storyville; The Lark Ascending; Treading; Concerto in F; Tilt; Memoria; The Time Before the Time After (After the Time Before); Phases; Later That Day; Icarus; Portrait of Billie; Myth; Suite Otis; Bad Blood; The River; Rainbow 'Round My Shoulder; Streams; Revelations; Les Noces; Hidden Rites
"Venice, Italy",Teatro La Fence,Blues Suite; The Prodigal Prince; Revelations
"Verona, Italy",Teatro Romano,Suite Otis; Blues Suite; The Stack-Up; Night Creature; Revelations; Treading; Cry
"Vicenza, Veneto, Italy",Teatro Olimpico,Lament; The Road of the Phoebe Snow; Revelations; Gillespiana; Hermit Songs
"Vienna, Austria",Theater an der Wien; Austrian Center U.N. Congress Hall,Cry; The Lark Ascending; Blues Suite; Bad Blood; Carmina Burana; Night Creature; Rainbow 'Round My Shoulder; Streams; Treading; Revelations; How Long Have It Been; Dance for Six; Kinetic Molpai; Caverna Magica; Missa Brevis; Love Songs
"Vienna, VA, USA",Wolf Trap,Speeds; The Stack-Up; Night Creature; Dance for Six; Cry; Love Songs; Choral Dances; Lament; The Lark Ascending; The Road of the Phoebe Snow; Treading; Echoes in Blue; Nubian Lady; Clear Songs After Rain; Myth; Liberian Suite; Caravan; Rainbow 'Round My Shoulder; Streams; Revelations; Blues Suite; How to Walk an Elephant
"Voroshilovgrad, Ukraine, U.S.S.R.",Palace of Culture,The Road of the Phoebe Snow; Congo Tango Palace; The Prodigal Prince; Reflections in D; Icarus; Revelations; Journey; Dance for Six; Blues Suite; Toccata
"Warsaw, Poland",Teatr Wielki,Suite Otis; Streams; Night Creature; Revelations; Hobo Sapiens; Cry; Tilt
"Washington, D.C., USA","Carter Barron Amphitheater; Sylvan Theater; Gallaudet College Auditorium; The White House; Opera House, The John F. Kennedy Center for the Performing Arts; Crampton Auditorium, Howard University; Lisner Auditorium, George Washington University; The John F. Kennedy Center for the Performing Arts","Spectrum; Masekela Langage; The Mooche; Journey; Dance for Six; Lament; District Storyville; The Road of the Phoebe Snow; Medusa; MASS - A Theatre Piece for Singers, Players and Dancers; Concerto in F; Nubian Lady; Pigs and Fishes; According to Eve; Liberian Suite; Three Black Kings; Reflections in D; Streams; Hermit Songs; After Eden; Gazelle; Flowers; Anjour: Ruminations on Dudley; Cry; Landscape; Feast of Ashes; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Fire Sermon; Icarus; Archipelago; Portrait of Billie; Caverna Magica; Myth; Congo Tango Palace; Bad Blood; Inside; Choros; Revelations; Metallics; Collage; Divining; Time Out of Mind; The Prodigal Prince; The Stack-Up; Butterfly; Kinetic Molpai; Quintet; Choral Dances; Fontessa and Friends; Coverage II; Later That Day; Sonnets; Suite Otis; Crossword; Blood Memories; Rainbow 'Round My Shoulder; Pas de Duke; The Magic of Katherine Dunham; Hidden Rites; Songs Without Words; Toccata; The Still Point; Speeds; Night Creature; Mary Lou's Mass; Missa Brevis; Love Songs; The Lark Ascending; Suspension; Treading; Survivors; Vespers; The Time Before the Time After (After the Time Before); Echoes in Blue; Phases; Isba; Blood Burning Moon; Hobo Sapiens; Facets; Caravan; Carmina Burana; Les Noces; Blues Suite"
"Wayne, NJ, USA","Shea Auditorium, William Paterson College",Icarus; Revelations; Journey; Kinetic Molpai; Toccata
"Wellesley, MA, USA","Alumnae Hall, Wellesley College",Blues Suite; Dance for Six; Revelations
"Wellsville, NY, USA",Wellsville High School Auditorium,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"West Chester, PA, USA","Philips Memorial Auditorium, West Chester State College",
"West Liberty, WV, USA","Hall of Fine Arts, West Liberty State College",The Black Belt
"West Palm Beach, FL, USA",West Palm Beach Auditorium,The Still Point; The Stack-Up; Night Creature; Butterfly; Cry; Love Songs; Landscape; Fever Swamp; Treading; Fontessa and Friends; Memoria; Isba; Suite Otis; To Jose Clemente Orozco; The River; Inside; Rainbow 'Round My Shoulder; Revelations; Research; Satyriade; Divining; Songs Without Words; Blues Suite; Seven Journeys
"West Point, NY, USA","Eisenhower Hall Theatre, United States Military Academy at West Point",Suite Otis; Memoria; The Lark Ascending; Later That Day; Bad Blood; Inside; Night Creature; Revelations; Treading; Caverna Magica; Love Songs
"Westerville, OH, USA","Cowan Hall, Otterbein College",The Black Belt; Blues Suite; Revelations
"Westfield, MA, USA",,
"Westport, CT, USA",Staples High School Auditorium,
"Wichita, KS, USA",Century II Concert Hall,Streams; Night Creature; Revelations; Hidden Rites; Cry; Love Songs
"Wiesbaden, Germany",,
"Wilberforce, OH, USA",Wilberforce College,
"Williamsport, PA, USA","Scottish Rite Auditorium, Lycoming College; Lycoming College",Revelations; Quintet; Blues Suite
"Williamstown, MA, USA","Chapin Hall, Williams College; Adams Memorial Theater, Williams College",Nubian Lady; Icarus; Choros; Revelations; Blues Suite
"Wilmington, DE, USA",Grand Opera House,Gazelle; The Still Point; The Lark Ascending; Phases; Blood Memories; Spectrum; Pigs and Fishes; Night Creature; Rainbow 'Round My Shoulder; Revelations; Streams; Treading; Fontessa and Friends; Concerto in F; Cry; Love Songs
"Winnipeg, Manitoba, Canada",Centennial Concert Hall,Time Out of Mind; Revelations; Cry; Blues Suite
"Winston-Salem, NC, USA",North Carolina School of the Arts,Flowers; Blues Suite; Revelations
"Worcester, MA, USA","Memorial Auditorium, Community Concert",Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Yakima, WA, USA",Capitol Theatre,Icarus; Revelations; Journey; Blues Suite; Toccata
"Yokohama, Japan",Kanagawa Kenmin Hall,Suite Otis; Cry; Phases; For 'Bird' - With Love; Pigs and Fishes; The Stack-Up; Fever Swamp; Revelations; Treading; Les Noces; Songs Without Words; Blues Suite; Facets
"Yonkers, NY, USA",Elizabeth Seton College,Revelations; Metallics; Journey; Blues Suite; Toccata
"Ypsilanti, MI, USA","Warner Gymnasium, Eastern Michigan University",Masekela Langage; The Prodigal Prince; Poeme; Icarus; Revelations; Dance for Six; Blues Suite; Toccata
"Zagreb, Socialist Federal Republic of Yugoslavia",Opera House,Lament; The Lark Ascending; The Road of the Phoebe Snow; The Prodigal Prince; Blues Suite; Rainbow 'Round My Shoulder; Revelations; Cry
"Zaporozhye, Russia, U.S.S.R.",Palace of Culture,Masekela Langage; Congo Tango Palace; The Prodigal Prince; Reflections in D; Icarus; Revelations; Journey; Dance for Six; Blues Suite; Toccata
"Zaragoza, Spain",Teatro Principal,Cry; The Mooche; Rainbow 'Round My Shoulder; Carmina Burana; Night Creature; Pas de Duke; Streams; Revelations; Blues Suite; Love Songs
"Zwolle, Netherlands",DE Buitensocieteit,Icarus; Revelations; Journey; The Black Belt; Toccata
"Zürich, Switzerland",Opera House,Blues Suite; The Stack-Up; Night Creature; Revelations; Treading; Caverna Magica; Cry
"Évora, Portugal",Teatro Garcia De Resende,
"Ōmuta, Japan",Omuta Shimin Kaikan,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; Roots of the Blues; Letter to a Lady
"Ṣafad, Israel","Cinema ""Zlil""",The Prodigal Prince; Reflections in D; Revelations; Blues Suite; Toccata
