Place,Venues,Repertory
"Charlotte, NC, USA","Ovens Auditorium, University of North Carolina Charlotte; Ovens Auditorium, University of North Carolina Charlotte ; Coliseum; Central Piedmont Community College",The Lark Ascending; The Road of the Phoebe Snow; Feast of Ashes; Blues Suite; Icarus; Rainbow 'Round My Shoulder; Streams; Revelations; Cry; Myth
"Charlottesville, VA, USA","University Hall, University of Virginia",Revelations; Quintet; Blues Suite
"Chatham, NY, USA",Chatham Central High School,Lament; Revelations; The Beloved; Blues Suite; Toccata
"Chicago, IL, USA","Arie Crown Theater; Chicago State Teachers College; Auditorium Theater; Auditorium Theatre, Roosevelt University; Harper Theater; Civic Opera House; Civic Center for the Performing Arts; Northeastern Illinois University","Spectrum; Masekela Langage; Journey; The Black Belt; Dance for Six; My Mother, My Father; Shards; The Road of the Phoebe Snow; Concerto in F; Pigs and Fishes; Liberian Suite; Reflections in D; Streams; After Eden; Gazelle; Flowers; Cry; Landscape; Feast of Ashes; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Fire Sermon; Precipice; The Wedding; Icarus; Nocturne; Portrait of Billie; Caverna Magica; From the Mountains of Taubalu; Myth; Congo Tango Palace; Bad Blood; The River; Countdown; Places; Choros; Revelations; Collage; Divining; Time Out of Mind; The Prodigal Prince; Witness; The Stack-Up; Lullaby for a Jazz Baby; Butterfly; How Long Have It Been; Choral Dances; Fever Swamp; Fontessa and Friends; Coverage II; Later That Day; Sonnets; The Blues Ain't; Suite Otis; Fanga; Crossword; Blood Memories; Rainbow 'Round My Shoulder; The Magic of Katherine Dunham; Hidden Rites; Songs Without Words; Toccata; The Still Point; Speeds; Night Creature; Mary Lou's Mass; Missa Brevis; Blueshift; Love Songs; The Lark Ascending; Treading; Survivors; Vespers; Light; The Time Before the Time After (After the Time Before); Echoes in Blue; Phases; Isba; Blood Burning Moon; Hobo Sapiens; Facets; Caravan; Carmina Burana; Les Noces; Blues Suite"
"China Lake, CA, USA",Center Theatre,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Christiansted, St. Croix, U.S. Virgin Islands",St. Croix Island Center,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Châteauvallon, France",Theatre Nationale de la Danse et de l'Image,Suite Otis; Memoria; Rainbow 'Round My Shoulder; Revelations
"Cincinnati, OH, USA",Music Hall,Liberian Suite; Blues Suite; Night Creature; Revelations; Dance for Six; Cry
"Claremont, CA, USA","Bridges Auditorium, Pomona College",
"Clearwater, FL, USA",Ruth Eckerd Hall,The Still Point; Witness; The Stack-Up; Night Creature; Journey; Cry; Love Songs; The Lark Ascending; Fever Swamp; Treading; Fontessa and Friends; Concerto in F; Survivors; Blues Suite; Vespers; Memoria; Isba; Portrait of Billie; Suite Otis; Bad Blood; Inside; Rainbow 'Round My Shoulder; Revelations; Research; Divining; Songs Without Words; Caverna Magica
"Clermont-Ferrand, France",Palais des Congres,Cry; The Stack-Up; Blues Suite; Revelations
"Cleveland, OH, USA",Ohio Theatre; State Theatre; Music Hall,Speeds; Witness; The Stack-Up; Night Creature; The Beloved; Dance for Six; Flowers; Cry; Quintet; Love Songs; The Lark Ascending; Treading; Survivors; Blues Suite; For 'Bird' - With Love; Night Shade; Memoria; Isba; Icarus; Archipelago; Portrait of Billie; Suite Otis; Bad Blood; Reflections in D; Streams; Revelations; Divining; Caverna Magica; Toccata
"Cobleskill, NY, USA","Bouck Hall Theater, State University of New York Cobleskill",Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"College Park, MD, USA","Tawes Fine Arts Theater, University of Maryland",The Road of the Phoebe Snow; Icarus; Revelations; Quintet; Toccata
"Cologne, Germany",Schauspiel Köln; Opernhaus,The Lark Ascending; Bad Blood; Carmina Burana; Rainbow 'Round My Shoulder; Streams; Revelations; Treading; The Magic of Katherine Dunham; Divining; Love Songs
"Columbia, MD, USA",Merriweather Post Pavilion,Suite Otis; Cry; The Lark Ascending; Fire Sermon; Gazelle; The Time Before the Time After (After the Time Before); Night Creature; Revelations; Rainbow 'Round My Shoulder; Butterfly; Streams; Mingus; Passage; Flowers; Blues Suite; Facets; Love Songs
"Columbia, MO, USA","Jesse Auditorium, University of Missouri; Stephens College; University of Missouri",Suite Otis; Memoria; Isba; Blues Suite; Places; Night Creature; Rainbow 'Round My Shoulder; Revelations; Butterfly; Treading; The Black Belt; Fontessa and Friends; Concerto in F; Divining; Flowers; Cry; Love Songs
"Columbia, SC, USA",Carolina Coliseum; Township Auditorium,Suite Otis; Gazelle; The Lark Ascending; The Road of the Phoebe Snow; The Time Before the Time After (After the Time Before); The River; The Stack-Up; Night Creature; Streams; Research; Revelations; Treading; Hobo Sapiens; Songs Without Words; Blues Suite; Love Songs
"Columbus, OH, USA","The Palace Theater; Ohio Theater; Mershon Auditorium, The Ohio State University",The Still Point; Speeds; The Stack-Up; Night Creature; Cry; Love Songs; Fever Swamp; Treading; Concerto in F; For 'Bird' - With Love; Night Shade; Memoria; Isba; Pigs and Fishes; Caverna Magica; Suite Otis; Bad Blood; Places; Revelations; Divining; Blues Suite
"Copenhagen, Denmark",Tivolis Koncertsal; Cirkusbygningen; Falkoner Centret,Spectrum; The Still Point; Speeds; The Stack-Up; Night Creature; Butterfly; Divining; Anjour: Ruminations on Dudley; Cry; Love Songs; Shards; Landscape; The Lark Ascending; The Road of the Phoebe Snow; Fever Swamp; Treading; Fontessa and Friends; Survivors; Concerto in F; For 'Bird' - With Love; Night Shade; Vespers; Phases; Isba; Later That Day; Pigs and Fishes; Sonnets; Portrait of Billie; Sarong Paramaribo; Come and Get the Beauty of It Hot; Suite Otis; Congo Tango Palace; Bad Blood; The River; Reflections in D; Inside; Rainbow 'Round My Shoulder; Streams; Research; Revelations; Chelsea's Bells; The Magic of Katherine Dunham; Satyriade; After Eden; Blues Suite; How to Walk an Elephant
"Cortland, NY, USA",Cortland College,
"Cotabato City, Philippines",Notre Dame Gymnasium,
"Culver, IN, USA","Culver Military Academy; Eugene C. Eppley Auditorium, Culver Military Academy",Congo Tango Palace; Reflections in D; Been Here and Gone; Cinco Latinos; Revelations; Gillespiana; The Beloved; Roots of the Blues; Blues Suite; Toccata
"Cupertino, CA, USA","Flint Center, De Anza College",Choral Dances; Streams; Revelations; Dance for Six; Flowers; Cry
"Curitiba, Brazil",Teatro Guaira,Suite Otis; Cry; The Lark Ascending; Gazelle; Night Creature; Rainbow 'Round My Shoulder; Pas de Duke; Revelations; Blues Suite; Facets; Love Songs
"Dakar, Senegal",Stade de l'Amité; Daniel Sorano Theater,Blues Suite; The Prodigal Prince; Revelations
"Dallas, TX, USA","Music Hall at Fair Park; McFarlin Auditorium, Southern Methodist University",Cry; Gazelle; Blood Memories; Reflections in D; The Stack-Up; Caravan; Rainbow 'Round My Shoulder; Night Creature; Revelations; Divining; Hobo Sapiens; Blues Suite
"Dar es Salaam, Tanzania",Msimbazi Community Centre,Blues Suite; The Prodigal Prince; Revelations
"Davie, FL, USA","Bailey Concert Hall, Broward Community College",Suite Otis; Cry; Memoria; Speeds; Isba; Pigs and Fishes; The Stack-Up; Night Creature; Fever Swamp; Rainbow 'Round My Shoulder; Revelations; Treading; Fontessa and Friends; Concerto in F; Divining; Blues Suite; How to Walk an Elephant
"Davis, CA, USA","Freeborn Hall, University of California Davis",The Prodigal Prince; Congo Tango Palace; Reflections in D; Revelations; Toccata
"DeKalb, IL, USA","University Center Ballroom, Northern Illinois University",Congo Tango Palace; Threnody; Reflections in D; Revelations; Toccata
"Deer Park, NY, USA",Deer Park High School,Reflections in D; Revelations; Metallics; Blues Suite; Toccata
"Delaware, OH, USA","Gray Chapel, Ohio Wesleyan University",Threnody; Blues Suite; Revelations
"Den Haag, Netherlands",Netherlands Congress Hall; Koninklijke Schouwburg,Lament; The Road of the Phoebe Snow; The Prodigal Prince; Congo Tango Palace; Blues Suite; Reflections in D; The Stack-Up; Icarus; Night Creature; Revelations; Journey; Metallics; The Black Belt; Credo; Cry; Toccata
"Denver, CO, USA",Performance East High School; Auditorium Theatre,Memoria; District Storyville; Later That Day; The Mooche; Inside; Night Creature; Revelations; Butterfly; Les Noces; Facets; Love Songs
